,state,year,sat_participation,sat_read_write,sat_math,sat_total,state,sat_participation,sat_read_write,sat_math,sat_total,,,,
0,Alabama,2018,0.06,595,571,1166,Alabama,0.06,595,571,1166,0,0,0,0
1,Alaska,2018,0.43,562,544,1106,Alaska,0.43,562,544,1106,0,0,0,0
2,Arizona,2018,0.29,577,572,1149,Arizona,0.29,577,572,1149,0,0,0,0
3,Arkansas,2018,0.05,592,576,1169,Arkansas,0.05,592,576,1169,0,0,0,0
4,California,2018,0.6,540,536,1076,California,0.6,540,536,1076,0,0,0,0
5,Colorado,2018,1,519,506,1025,Colorado,1,519,506,1025,0,0,0,0
6,Connecticut,2018,1,535,519,1053,Connecticut,1,535,519,1053,0,0,0,0
7,Delaware,2018,1,505,492,998,Delaware,1,505,492,998,0,0,0,0
8,District of Columbia,2018,0.92,497,480,977,District of Columbia,0.92,497,480,977,0,0,0,0
9,Florida,2018,0.97,522,493,1014,Florida,0.97,522,493,1014,0,0,0,0
10,Georgia,2018,0.7,542,522,1064,Georgia,0.7,542,522,1064,0,0,0,0
11,Hawaii,2018,0.56,550,549,1099,Hawaii,0.56,550,549,1099,0,0,0,0
12,Idaho,2018,1,508,493,1001,Idaho,1,508,493,1001,0,0,0,0
13,Illinois,2018,0.99,513,506,1019,Illinois,0.99,513,506,1019,0,0,0,0
14,Indiana,2018,0.67,546,539,1086,Indiana,0.67,546,539,1086,0,0,0,0
15,Iowa,2018,0.03,634,632,1265,Iowa,0.03,634,631,1265,0,0,1,0
16,Kansas,2018,0.04,633,631,1265,Kansas,0.04,633,631,1265,0,0,0,0
17,Kentucky,2018,0.04,630,618,1248,Kentucky,0.04,630,618,1248,0,0,0,0
18,Louisiana,2018,0.04,615,595,1210,Louisiana,0.04,615,595,1210,0,0,0,0
19,Maine,2018,0.99,512,501,1013,Maine,0.99,512,501,1013,0,0,0,0
20,Maryland,2018,0.76,545,535,1080,Maryland,0.76,545,535,1080,0,0,0,0
21,Massachusetts,2018,0.8,562,563,1125,Massachusetts,0.8,562,563,1125,0,0,0,0
22,Michigan,2018,1,511,499,1011,Michigan,1,511,499,1011,0,0,0,0
23,Minnesota,2018,0.04,643,655,1298,Minnesota,0.04,643,655,1298,0,0,0,0
24,Mississippi,2018,0.03,630,606,1236,Mississippi,0.03,630,606,1236,0,0,0,0
25,Missouri,2018,0.04,633,629,1262,Missouri,0.04,633,629,1262,0,0,0,0
26,Montana,2018,0.1,606,592,1229,Montana,0.1,606,592,1198,0,0,0,31
27,Nebraska,2018,0.03,629,623,1252,Nebraska,0.03,629,623,1252,0,0,0,0
28,Nevada,2018,0.23,574,566,1140,Nevada,0.23,574,566,1140,0,0,0,0
29,New Hampshire,2018,0.96,535,528,1063,New Hampshire,0.96,535,528,1063,0,0,0,0
30,New Jersey,2018,0.82,547,547,1094,New Jersey,0.82,547,547,1094,0,0,0,0
31,New Mexico,2018,0.16,552,540,1093,New Mexico,0.16,552,540,1093,0,0,0,0
32,New York,2018,0.79,534,534,1068,New York,0.79,534,534,1068,0,0,0,0
33,North Carolina,2018,0.52,554,543,1098,North Carolina,0.52,554,543,1098,0,0,0,0
34,North Dakota,2018,0.02,640,643,1283,North Dakota,0.02,640,643,1283,0,0,0,0
35,Ohio,2018,0.18,552,547,1099,Ohio,0.18,552,547,1099,0,0,0,0
36,Oklahoma,2018,0.08,541,521,1062,Oklahoma,0.08,541,521,1062,0,0,0,0
37,Oregon,2018,0.48,564,553,1117,Oregon,0.48,564,553,1117,0,0,0,0
38,Pennsylvania,2018,0.7,547,539,1086,Pennsylvania,0.7,547,539,1086,0,0,0,0
39,Rhode Island,2018,0.97,513,505,1018,Rhode Island,0.97,513,505,1018,0,0,0,0
40,South Carolina,2018,0.55,547,523,1070,South Carolina,0.55,547,523,1070,0,0,0,0
41,South Dakota,2018,0.03,622,618,1241,South Dakota,0.03,622,618,1241,0,0,0,0
42,Tennessee,2018,0.06,624,607,1231,Tennessee,0.06,624,607,1231,0,0,0,0
43,Texas,2018,0.66,520,512,1032,Texas,0.66,520,512,1032,0,0,0,0
44,Utah,2018,0.04,618,612,1230,Utah,0.04,618,612,1230,0,0,0,0
45,Vermont,2018,0.64,565,554,1120,Vermont,0.64,565,554,1120,0,0,0,0
46,Virginia,2018,0.68,567,550,1117,Virginia,0.68,567,550,1117,0,0,0,0
47,Washington,2018,0.69,543,538,1081,Washington,0.69,543,538,1081,0,0,0,0
48,West Virginia,2018,0.28,513,486,999,West Virginia,0.28,513,486,999,0,0,0,0
49,Wisconsin,2018,0.03,641,653,1294,Wisconsin,0.03,641,653,1294,0,0,0,0
50,Wyoming,2018,0.03,633,635,1257,Wyoming,0.03,633,625,1257,0,0,10,0
